Stock,MAE,RMSE,MAPE,R2,Train Records,Test Records,Model Path,Scaler Path,Source_File
ACC,32.6485,43.487,1.7532,0.9871,2303.0,576.0,../models/gru_models\ACC_gru.keras,../models/gru_models\ACC_scaler.pkl,
ADANIPORTS,38.3302,48.9104,2.5739,0.9322,2303.0,576.0,../models/gru_models\ADANIPORTS_gru.keras,../models/gru_models\ADANIPORTS_scaler.pkl,
ADANIPOWER,6.712,10.3779,4.0563,0.9276,2303.0,576.0,../models/gru_models\ADANIPOWER_gru.keras,../models/gru_models\ADANIPOWER_scaler.pkl,
ALKEM,65.2207,86.7112,1.1994,0.9461,2110.0,528.0,../models/gru_models\ALKEM_gru.keras,../models/gru_models\ALKEM_scaler.pkl,
AMBUJACEM,10.6584,14.1322,2.0073,0.9605,2303.0,576.0,../models/gru_models\AMBUJACEM_gru.keras,../models/gru_models\AMBUJACEM_scaler.pkl,
ASHOKLEY,4.565,6.3718,3.0709,0.9505,2303.0,576.0,../models/gru_models\ASHOKLEY_gru.keras,../models/gru_models\ASHOKLEY_scaler.pkl,
ASIANPAINT,50.9841,67.573,1.9987,0.9473,2302.0,576.0,../models/gru_models\ASIANPAINT_gru.keras,../models/gru_models\ASIANPAINT_scaler.pkl,
AUROPHARMA,20.6949,26.6922,1.6041,0.9729,2302.0,576.0,../models/gru_models\AUROPHARMA_gru.keras,../models/gru_models\AUROPHARMA_scaler.pkl,
AXISBANK,27.0168,34.1181,2.2236,0.8786,2302.0,576.0,../models/gru_models\AXISBANK_gru.keras,../models/gru_models\AXISBANK_scaler.pkl,
BAJAJ-AUTO,114.9371,161.2747,1.2269,0.9758,2303.0,576.0,../models/gru_models\BAJAJ-AUTO_gru.keras,../models/gru_models\BAJAJ-AUTO_scaler.pkl,
BAJAJFINSV,35.0769,45.7222,1.8945,0.9296,2303.0,576.0,../models/gru_models\BAJAJFINSV_gru.keras,../models/gru_models\BAJAJFINSV_scaler.pkl,
BAJFINANCE,18.8143,24.3251,2.1053,0.9659,2303.0,576.0,../models/gru_models\BAJFINANCE_gru.keras,../models/gru_models\BAJFINANCE_scaler.pkl,
BALKRISIND,53.0854,75.1284,2.048,0.9437,2301.0,576.0,../models/gru_models\BALKRISIND_gru.keras,../models/gru_models\BALKRISIND_scaler.pkl,
BANKBARODA,8.4509,10.0266,3.257,0.8298,2303.0,576.0,../models/gru_models\BANKBARODA_gru.keras,../models/gru_models\BANKBARODA_scaler.pkl,
BHARTIARTL,101.8393,111.6612,5.5523,0.7167,2302.0,576.0,../models/gru_models\BHARTIARTL_gru.keras,../models/gru_models\BHARTIARTL_scaler.pkl,
BHEL,11.1857,14.3958,3.828,0.945,2303.0,576.0,../models/gru_models\BHEL_gru.keras,../models/gru_models\BHEL_scaler.pkl,
BIOCON,5.5342,7.3264,1.5314,0.9476,2303.0,576.0,../models/gru_models\BIOCON_gru.keras,../models/gru_models\BIOCON_scaler.pkl,
BOSCHLTD,1068.8529,1377.6028,2.9434,0.8968,2301.0,576.0,../models/gru_models\BOSCHLTD_gru.keras,../models/gru_models\BOSCHLTD_scaler.pkl,
BPCL,12.4397,14.3743,3.8148,0.7871,2302.0,576.0,../models/gru_models\BPCL_gru.keras,../models/gru_models\BPCL_scaler.pkl,
BRITANNIA,91.8724,122.0369,1.6575,0.9124,2303.0,576.0,../models/gru_models\BRITANNIA_gru.keras,../models/gru_models\BRITANNIA_scaler.pkl,
CANBK,4.7156,5.599,3.8394,0.9117,,,,,
CHOLAFIN,32.2411,41.2097,2.1184,0.9419,,,,,
CIPLA,19.3678,25.7333,1.3095,0.9226,,,,,
COALINDIA,7.2673,9.6936,1.6919,0.9531,,,,,
COFORGE,45.8775,56.4814,2.9182,0.9551,,,,,
COLPAL,54.7806,72.6549,2.107,0.9769,,,,,
CONCOR,13.9307,20.8155,2.1165,0.989,,,,,
DABUR,7.7463,10.0304,1.5299,0.9731,,,,,
DIVISLAB,165.429,218.9744,2.6162,0.9337,,,,,
DLF,16.7772,21.756,2.3404,0.9508,,,,,
DMART,88.3066,123.4026,2.157,0.8358,1867.0,467.0,../models/gru_models\DMART_gru.keras,../models/gru_models\DMART_scaler.pkl,
DRREDDY,19.3506,25.0518,1.5403,0.8596,2302.0,576.0,../models/gru_models\DRREDDY_gru.keras,../models/gru_models\DRREDDY_scaler.pkl,
EICHERMOT,80.1581,113.1141,1.341,0.99,2302.0,576.0,../models/gru_models\EICHERMOT_gru.keras,../models/gru_models\EICHERMOT_scaler.pkl,
ETERNAL,7.4511,9.3469,2.6999,0.9236,1009.0,253.0,../models/gru_models\ETERNAL_gru.keras,../models/gru_models\ETERNAL_scaler.pkl,
