Price,Close,High,Low,Open,Volume
Ticker,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS,ALKEM.NS
Date,,,,,
2015-12-23,1250.296875,1279.2535960059365,1227.2219879483944,1248.7585933810094,10984341
2015-12-24,1378.837646484375,1397.116532871858,1253.2831109964623,1255.9978036556604,5450848
2015-12-28,1328.7515869140625,1393.9946782947698,1297.7135567085077,1386.9364332075606,2046162
2015-12-29,1326.1727294921875,1351.0121245706027,1297.623165863526,1330.0637229178876,1333944
2015-12-30,1319.5667724609375,1348.206800278098,1306.6719831535015,1337.4384979922959,622721
2015-12-31,1343.9991455078125,1354.269711061783,1305.3147735364548,1321.1504813609872,774495
2016-01-01,1360.1514892578125,1374.539382436769,1339.2483778844096,1352.8218411737787,508347
2016-01-04,1384.62890625,1429.738023703092,1343.7727627842353,1357.2557573784693,1350429
2016-01-05,1418.60791015625,1437.7918053747055,1387.7509243751472,1391.732495870384,658233
2016-01-06,1381.7786865234375,1431.5480563720223,1373.6346078209417,1408.020717898146,594918
2016-01-07,1327.8013916015625,1370.829314084401,1319.7477813525413,1360.9659087439647,349010
2016-01-08,1336.71435546875,1360.875181609169,1330.1991385663364,1339.2481122980803,190247
2016-01-11,1335.357177734375,1343.5918332371466,1311.8751321249665,1324.227004918005,187799
2016-01-12,1334.0904541015625,1350.107095975265,1325.6748630052032,1340.1532232837583,143904
2016-01-13,1281.1087646484375,1347.0758211343568,1234.2803143072356,1337.43863969655,353619
2016-01-14,1299.251708984375,1323.8648736608866,1239.7094168936533,1264.1416462776888,395952
2016-01-15,1295.49658203125,1330.199380512253,1286.764298699608,1306.852979853506,257237
2016-01-18,1216.724853515625,1285.904316445724,1205.549394264874,1285.85902739755,635080
2016-01-19,1203.8758544921875,1244.2342675510708,1159.173888533034,1226.1363145685098,467691
2016-01-20,1196.998291015625,1228.03620468023,1177.2714840696772,1194.4645341829162,332152
2016-01-21,1238.4427490234375,1244.2341153617099,1210.7529064392493,1211.6578039776941,197466
2016-01-22,1236.814208984375,1266.6758328052686,1190.392913223801,1253.2833027859858,166387
2016-01-25,1227.8101806640625,1246.7678500271088,1221.6116547304327,1243.1482599390185,120355
2016-01-27,1212.1102294921875,1234.9136028390583,1204.463889623476,1234.9136028390583,90193
2016-01-28,1221.702392578125,1232.470697563901,1203.5139704552043,1207.1335613437914,116177
2016-01-29,1229.57470703125,1240.614411806718,1215.2772830462598,1215.2772830462598,136274
2016-02-01,1242.83154296875,1252.7402377934845,1214.9154745854028,1231.5656122287003,145523
2016-02-02,1242.15283203125,1294.8179361135312,1238.6238199286424,1251.292385723805,141659
2016-02-03,1242.69580078125,1255.6357689612387,1226.5885808395572,1231.5655171690426,78557
2016-02-04,1219.3494873046875,1261.4272247144597,1211.657857885697,1248.9395939438816,127453
2016-02-05,1210.7982177734375,1222.0641481498646,1203.5137482705072,1217.0872115968662,31085
2016-02-08,1197.496337890625,1225.910147494443,1191.0262973045153,1217.0873950027872,38022
2016-02-09,1211.114990234375,1216.5443759253887,1176.3668997196596,1185.4158758713493,42425
2016-02-10,1195.2791748046875,1212.5626956126123,1167.3178189106493,1210.662432883355,50038
2016-02-11,1154.4683837890625,1201.70399356868,1133.4746935283526,1194.4648128845315,123980
2016-02-12,1194.2386474609375,1257.5814815751755,1135.6465259052675,1154.6946652055035,518016
2016-02-15,1189.89501953125,1230.2082505962178,1169.1729534767235,1230.2082505962178,130223
2016-02-16,1185.0538330078125,1206.2284581920824,1168.5394523911543,1194.4647898076134,85016
2016-02-17,1192.5645751953125,1201.025345706101,1163.6983195163277,1187.2256572359424,143402
2016-02-18,1184.14892578125,1207.3595703042831,1178.3575593008306,1190.392741041997,46411
2016-02-19,1185.7322998046875,1197.1792741402,1171.8421466451694,1180.8911207505375,75666
2016-02-22,1159.7166748046875,1191.704781017164,1149.2198853457235,1185.415787246376,71363
2016-02-23,1185.416015625,1194.4649928435115,1160.078879413168,1164.6938357023791,124252
2016-02-24,1157.454345703125,1183.5154373369555,1150.1246982002097,1180.8912125501759,50434
2016-02-25,1151.1651611328125,1162.7930697379722,1140.1706364745876,1160.3498911299666,30759
2016-02-26,1157.86181640625,1167.2274848634308,1110.3094013646535,1160.0787714339738,41075
2016-02-29,1144.378662109375,1158.2688168441487,1133.4294242923695,1158.0878815259657,20747
2016-03-01,1190.1214599609375,1195.7770708192927,1141.2118035345716,1146.6411899585926,61308
2016-03-02,1177.3624267578125,1200.8897679845445,1173.1546301769554,1198.0846070843565,37130
2016-03-03,1182.8367919921875,1203.4232101654839,1170.9826568066017,1187.3159904432475,127326
2016-03-04,1186.59228515625,1218.8970857843435,1178.945834042986,1185.4158740738603,55849
2016-03-08,1214.9154052734375,1247.8536975549296,1198.989230790632,1217.0871814440757,119691
2016-03-09,1217.7657470703125,1226.13604850847,1199.8940223780303,1217.0870739807322,40059
2016-03-10,1219.9827880859375,1229.7557254527928,1213.4675701487824,1228.8508279359035,30565
2016-03-11,1237.17578125,1241.5193333060715,1212.4721465068046,1213.4675116351618,54502
2016-03-14,1225.2313232421875,1236.8592350522229,1192.9265238226913,1221.6117329224173,93659
2016-03-15,1227.2220458984375,1239.5287412759885,1217.132526315399,1225.231315419726,30214
2016-03-16,1227.267333984375,1235.1851877520162,1216.1823387096774,1235.1851877520162,22480
2016-03-17,1222.3809814453125,1257.536233430468,1209.486189795307,1235.185305421581,46550
2016-03-18,1253.1876220703125,1262.3476622462288,1208.8460404875398,1235.0043915838555,105456
2016-03-21,1230.7208251953125,1265.0821621858133,1225.890135547492,1264.0339810818446,27507
2016-03-22,1241.84033203125,1248.6761503727064,1222.1531974598684,1233.1816287987385,67466
2016-03-23,1235.7335205078125,1245.8960131913536,1229.535668335387,1232.2699952479195,61753
2016-03-28,1264.44384765625,1269.6390238528531,1232.725613611618,1239.561430322958,92882
2016-03-29,1285.4527587890625,1292.4253153587713,1226.6647243457332,1271.006419088721,226373
2016-03-30,1249.678466796875,1295.159458054455,1244.2098132090307,1292.425131260533,68085
2016-03-31,1236.325927734375,1258.7018818690144,1230.4471690971538,1255.056112479097,57439
2016-04-01,1209.9853515625,1216.7755526519293,1157.5317991520226,1168.4691074904667,288351
2016-04-04,1235.1409912109375,1248.265781904084,1183.0520442081618,1215.8639653110076,168161
2016-04-05,1215.3172607421875,1244.893520714697,1207.7067393153372,1231.3586239689732,28090
2016-04-06,1197.08837890625,1234.0929152656015,1193.078010400792,1214.0411839983612,40140
2016-04-07,1219.3275146484375,1223.0644057075308,1200.4605928827023,1211.2156561845247,74984
2016-04-08,1222.1527099609375,1236.3255675795053,1212.309090971691,1218.1423425482808,20874
2016-04-11,1211.8082275390625,1232.270063903859,1207.1142771590157,1232.270063903859,21031
2016-04-12,1215.77294921875,1224.021435569436,1210.5776611689867,1214.9526288677293,9640
2016-04-13,1220.4212646484375,1230.447130153391,1216.775495373909,1216.957739333616,14050
2016-04-18,1163.729248046875,1173.0259124057584,1126.9069671614666,1153.8856294527507,319467
2016-04-20,1160.357177734375,1182.0495491252652,1143.860094244688,1167.557594205136,66906
2016-04-21,1132.0570068359375,1179.7709912487762,1102.2983920794893,1178.4949497163307,294279
2016-04-22,1124.5377197265625,1143.8146382002408,1094.870223991792,1134.1989872762674,32915
2016-04-25,1118.0660400390625,1137.4341857116315,1112.8708642920787,1124.8563508073446,34850
2016-04-26,1113.6002197265625,1121.0740019018908,1098.3335615705814,1117.4282327900148,42982
2016-04-27,1104.1668701171875,1121.0741714343064,1088.2622444654974,1119.251286602706,177077
2016-04-28,1086.5303955078125,1111.7774151805008,1084.6163888383435,1111.7774151805008,74937
2016-04-29,1085.482421875,1101.8883871924545,1076.4136133285474,1087.3509235401837,42594
2016-05-02,1138.664794921875,1169.1981088888951,1050.4371446862922,1050.4371446862922,174739
2016-05-03,1119.7069091796875,1148.235098785315,1113.0533356264107,1148.235098785315,29703
2016-05-04,1116.927001953125,1135.657187062389,1107.4024737406123,1107.4024737406123,24464
2016-05-05,1132.512451171875,1139.3026504646346,1107.4021762516247,1107.4021762516247,42144
2016-05-06,1134.9278564453125,1146.3208846832395,1125.6311899071807,1130.6441223318686,27750
2016-05-09,1137.2523193359375,1142.0373922083186,1123.2616999515596,1131.100082785733,30809
2016-05-10,1118.56787109375,1137.844903305947,1116.5171253533051,1137.4803040334082,18824
2016-05-11,1097.8321533203125,1135.657005427239,1093.7306633328144,1120.1624876966907,54988
2016-05-12,1090.859619140625,1111.7772852365495,1085.5277043059912,1107.2200740513858,42346
2016-05-13,1081.3807373046875,1101.022364553854,1077.3248633300127,1077.3248633300127,27977
2016-05-16,1088.8544921875,1102.84510829276,1084.6618801435188,1089.1734747188827,24827
2016-05-17,1087.122802734375,1099.564012374625,1079.1476826137077,1088.262105608756,26891
2016-05-18,1112.68896484375,1117.3372989922393,1084.61649345042,1084.61649345042,43608
2016-05-19,1118.3857421875,1125.631666712097,1102.8456005843218,1111.960027035432,25302
2016-05-20,1123.9453125,1130.1886712139667,1112.005438306124,1112.005438306124,42457
2016-05-23,1141.7635498046875,1146.594237758716,1126.5425102303443,1132.922605353008,94824
2016-05-24,1117.245849609375,1140.9433458834324,1108.450410471036,1139.302705483524,41053
2016-05-25,1125.3580322265625,1137.4802622173634,1112.0509937186623,1121.5300181558216,34310
2016-05-26,1147.232666015625,1153.0204150791383,1116.7449579440747,1122.8971950108958,66294
2016-05-27,1138.3004150390625,1152.974615161838,1131.191119943528,1152.974615161838,92226
2016-05-30,1163.729248046875,1176.7628025398187,1094.6418965029648,1111.95929536521,85318
2016-05-31,1151.5164794921875,1162.0891902653323,1134.7459152002657,1155.7090927501501,22541
2016-06-01,1173.9833984375,1177.5835513233594,1146.5945104990606,1152.0631647621722,69058
2016-06-02,1190.298095703125,1197.3162685731695,1164.9144484388685,1164.9144484388685,72275
2016-06-03,1238.604736328125,1244.1190079369285,1193.9896706207885,1193.9896706207885,183594
2016-06-06,1244.2100830078125,1263.259252721499,1219.9657357631504,1244.1189610135975,72141
2016-06-07,1239.7891845703125,1297.6657610968443,1213.2206236451038,1252.3215141331443,385335
2016-06-08,1278.2523193359375,1287.4123597446921,1226.3001037568597,1243.2074043835469,88297
2016-06-09,1258.5650634765625,1284.9057679008245,1239.6526359653426,1246.442947779615,117004
2016-06-10,1266.8135986328125,1276.0191430557065,1246.0326709418894,1255.0559714197914,97552
2016-06-13,1266.631103515625,1267.8160228073064,1248.6757377757078,1259.2940610095286,74249
2016-06-14,1246.57958984375,1265.2641570033093,1232.543467424606,1253.3699017382519,32167
2016-06-15,1266.3580322265625,1268.7277601011776,1237.3286154274074,1244.1644331003665,51899
