Price,Close,High,Low,Open,Volume
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
Date,,,,,
2005-01-03,56.164459228515625,58.5169545798184,55.848144385554335,58.19434911244122,462000
2005-01-04,55.471065521240234,57.39831062493503,55.15684119300154,56.72796283419501,752620
2005-01-05,53.564781188964844,56.01573067634792,50.359691922484366,55.931938788206274,759400
2005-01-06,51.99784851074219,54.339865925324304,51.553745761548285,53.627625305320244,803920
2005-01-07,52.09001922607422,53.29244903892165,51.32331103690423,52.496416567758494,814280
2005-01-10,54.06963348388672,54.88452511235852,52.370730069044384,52.78969590959674,1209500
2005-01-11,51.53907775878906,54.884519935781974,50.69486192541694,54.38176225312032,850920
2005-01-12,49.96796417236328,52.035559715569356,48.39055792934399,51.742284885489035,760520
2005-01-13,50.510520935058594,52.28693840821871,49.64745232261151,50.27590108618887,509780
2005-01-14,50.868743896484375,51.61659634766201,50.066423833897815,50.34084598029918,418560
2005-01-17,50.81008529663086,51.323317835696656,49.47986741291924,51.07193895905788,436880
2005-01-18,51.794654846191406,59.07418672042862,51.11383531838505,51.2814223029824,589700
2005-01-19,49.32065963745117,52.16124754662991,48.72572890647834,51.95385830325058,578060
2005-01-20,48.64403533935547,50.35969794829293,48.22297258045382,49.44006796131763,920460
2005-01-24,49.21382141113281,49.98262654900314,48.64193392815111,49.06089977283192,523800
2005-01-25,50.21725082397461,50.778663571016175,48.80952520609104,49.43797402848706,328500
2005-01-27,50.5733642578125,51.113830554628734,50.36178766730628,50.694864730410465,212600
2005-01-28,50.2486686706543,52.322551565581385,49.86950508426227,52.322551565581385,1988540
2005-01-31,46.94302749633789,48.516246295422185,45.292304234985224,48.516246295422185,1920920
2005-02-01,47.121089935302734,49.18240116215566,46.96607141917604,48.18107303054173,2595860
2005-02-02,47.085472106933594,48.18106677378209,46.92416937968343,47.72020503523699,1017460
2005-02-03,46.94302749633789,47.804002438614134,46.71888243065369,47.804002438614134,539740
2005-02-04,47.6301155090332,48.176865886037085,46.92206563583601,47.175538099256755,729000
2005-02-07,47.88568878173828,49.10278375251835,47.76209465482455,49.10278375251835,531080
2005-02-08,48.03653335571289,48.4115096153205,47.845903109608734,48.172699187125595,428560
2005-02-09,47.51911544799805,48.43246131160857,47.15461713129691,48.39056535751672,479080
2005-02-10,47.44578170776367,48.09727363451982,47.217442924503075,47.97158261981592,413160
2005-02-11,47.098045349121094,47.678313933291896,46.505208301166675,46.505208301166675,439180
2005-02-14,46.80686569213867,47.92969430804104,46.50520976600732,47.92969430804104,436240
2005-02-15,46.11347961425781,47.343143422770964,45.71336644030533,46.84038565615577,544660
2005-02-16,46.069488525390625,46.91789508538623,45.960556499823355,46.91789508538623,549600
2005-02-17,46.3522834777832,47.112704252516686,46.08623929231548,46.20983343963193,454340
2005-02-18,45.95846176147461,46.798487194351466,45.66728060474297,46.50521235895844,556800
2005-02-21,45.61699676513672,46.5889973276238,45.24830799883316,46.5889973276238,494860
2005-02-22,45.047203063964844,46.00244780806972,44.61985933871057,45.49968691173207,446300
2005-02-23,43.93274688720703,45.24410847686632,43.66460907460229,44.82933329743943,743060
2005-02-24,43.993507385253906,44.594725546169435,43.57244786192761,44.410379551580064,600440
2005-02-25,45.068153381347656,45.248308812812446,44.07520323167583,44.410377168130736,563740
2005-02-28,43.9976921081543,45.58347915497249,43.635287595412905,45.54158001887774,278640
2005-03-01,43.93485641479492,44.82934946978381,43.78402844123618,44.57797057933791,389520
2005-03-02,43.66880798339844,44.57796302812669,43.57244444021524,44.037496747168596,487980
2005-03-03,44.63242721557617,44.787445715957446,43.949514096188196,44.15899700113051,500920
2005-03-04,44.33916091918945,45.0388331885505,44.16319601248597,44.61986729842445,237100
2005-03-07,43.83429718017578,44.779063916107,43.65623543515085,44.61985806154094,243340
2005-03-08,43.6059684753418,44.45227812549755,42.98589758189,43.86572526876335,433300
2005-03-09,43.90342712402344,44.99692813164913,43.19537389015132,43.99140955956792,493740
2005-03-10,43.10740280151367,44.20090409697524,42.93562843827036,44.033317091439535,695980
2005-03-11,43.092735290527344,43.78193272944501,42.776414017898645,43.56616556549005,544600
2005-03-14,42.476844787597656,43.568248810476206,42.35743801081375,43.23726547404716,427180
2005-03-15,44.37057876586914,45.457795680914735,42.525034669242814,42.94400052805309,1200420
2005-03-16,44.06892013549805,45.03882706207267,43.781929562665994,45.03882706207267,597340
2005-03-17,44.531883239746094,44.91314052385973,43.57245100236921,44.07520877381417,550600
2005-03-18,43.33363723754883,44.41037932541046,43.201661974234845,44.28468829402041,196180
2005-03-21,42.68843078613281,43.57244899747105,42.48313841182543,43.57244899747105,344160
2005-03-22,42.250606536865234,43.362960222442865,42.06416688405691,43.06968544154956,402020
2005-03-23,41.72270965576172,42.94399537110989,41.100545174424816,42.65072058374302,345220
2005-03-24,40.744422912597656,42.3993364978177,40.430198571369395,42.18985360366553,479500
2005-03-28,40.15159225463867,41.56141145904763,38.963824441528075,41.268136639682965,304160
2005-03-29,40.002864837646484,40.59779563807465,39.592276856398705,40.22072569538916,622320
2005-03-30,41.81907272338867,47.129462367947205,39.382785551762325,40.38830412003457,344740
2005-03-31,41.75204086303711,42.9439992060928,41.058652899483846,42.73451628313625,441420
2005-04-01,41.69338607788086,42.269464118464654,41.14244496529306,41.84212036025393,124400
2005-04-04,45.38447189331055,47.1546050680725,41.64520380833005,41.67453128833735,1981960
2005-04-05,45.28183364868164,46.505213266562485,44.45437666453626,46.28316185879474,597760
2005-04-06,45.46198654174805,46.714693573049075,45.080726073355294,45.66727891894484,574940
2005-04-07,45.1037712097168,45.65890291747961,44.61986613071802,45.453607335242076,268360
2005-04-08,44.171566009521484,45.432654007856414,42.52083967532353,43.15766950422819,268800
2005-04-11,42.3930549621582,44.36848044177208,42.041125211904586,44.36848044177208,325600
2005-04-12,42.76384353637695,43.15348189885592,42.11025784310477,42.189859179813745,226860
