Price,Close,High,Low,Open,Volume
Ticker,SHRIRAMFIN.NS,SHRIRAMFIN.NS,SHRIRAMFIN.NS,SHRIRAMFIN.NS,SHRIRAMFIN.NS
Date,,,,,
2005-01-03,5.020514011383057,5.106091317642814,4.963462822879657,5.106091317642814,447917
2005-01-04,5.120355606079102,5.170274931530003,4.88501855206783,5.0276470908021285,431332
2005-01-05,5.234456539154053,5.990385766025021,5.0205141405098574,5.063302271235583,2681327
2005-01-06,5.712262153625488,6.133015131791405,5.391348510275386,5.391348510275386,2652580
2005-01-07,5.562501430511475,5.705129215930823,5.277244463660472,5.705129215930823,672589
2005-01-10,5.469794273376465,5.619553972871895,5.305771163685726,5.576765487301771,376039
2005-01-11,5.270114421844482,5.5197134492309985,5.248719830607841,5.419874117478914,227248
2005-01-12,5.0133843421936035,5.277246473938777,4.9563324384861325,5.148881348362213,328043
2005-01-13,5.241588592529297,5.334296735697174,5.034777018606483,5.034777018606483,136244
2005-01-14,5.2629828453063965,5.3057713322357944,5.106092308237225,5.170274340624978,112089
2005-01-17,5.084697723388672,5.291508627522939,5.0205149928983985,5.049040418225294,123753
2005-01-18,5.098959922790527,5.170273827932476,5.013383306420816,5.020514487533129,76691
2005-01-19,5.156012058258057,5.205932429179163,5.049040832007691,5.0846981400932805,92071
2005-01-20,5.205930709838867,5.241588006148075,5.077564931730039,5.077564931730039,310503
2005-01-24,5.098959922790527,5.191668418278826,5.063302621216415,5.134617573367777,145193
2005-01-25,5.163141250610352,5.277243599870556,5.041907373645251,5.041907373645251,64088
2005-01-27,5.3770856857299805,5.419874170616468,5.134617837375323,5.2059317461840315,353367
2005-01-28,5.291507720947266,5.448398929378253,5.248719241284552,5.419873508938519,155503
2005-01-31,5.2273268699646,5.377086592317082,5.134618703081873,5.3342981002163725,218401
2005-02-01,5.170273780822754,5.277245335567265,5.156011069724949,5.213062961125574,104192
2005-02-02,5.198799133300781,5.262981851576215,5.163142532929682,5.262981851576215,91891
2005-02-03,5.248719215393066,5.348559582452082,5.156010726913473,5.205931084944536,217590
2005-02-04,5.205930709838867,5.31290190076032,5.134616815226623,5.31290190076032,175028
2005-02-07,5.455530643463135,5.5482380825948105,5.177405185040185,5.405610286691333,610718
2005-02-08,5.555370330810547,5.62668423350959,5.4270045381453915,5.533975741197083,477711
2005-02-09,5.961860179901123,6.026043246714279,5.626683881005221,5.626683881005221,2345474
2005-02-10,6.140147686004639,6.275644681160344,5.9333360787633005,6.097358499949441,2449235
2005-02-11,6.753448009490967,6.9174704094692885,6.13301466400066,6.225723159120478,3102535
2005-02-14,6.7035298347473145,7.110020879100641,6.582295186041023,6.917472305984206,1357834
2005-02-15,6.225721836090088,6.639344211186677,6.147276417814943,6.639344211186677,997446
2005-02-16,6.239985466003418,6.553767167906113,6.190065459426301,6.332693949931464,530598
2005-02-17,6.125882148742676,6.261379802594246,6.02604283759829,6.1330136776828805,197772
2005-02-18,6.004647731781006,6.204327034817159,5.990384675133388,6.204327034817159,214485
2005-02-21,5.8905463218688965,6.118751774975167,5.847758192039965,5.997517867952096,239769
2005-02-22,5.911941051483154,6.061700381968888,5.847758331702219,6.018911902114931,167624
2005-02-23,6.439666271209717,6.54663783812351,5.847759330775193,5.890547468936266,1036657
2005-02-24,6.289906024932861,6.632213873800296,5.9903859591676065,6.418271468258149,924839
2005-02-25,6.168670654296875,6.518109950472219,6.061699127791487,6.404006895798994,241832
2005-02-28,6.097358226776123,6.346958310883735,6.004649723822772,6.2756443999994636,190577
2005-03-01,6.133013725280762,6.4895852890152055,6.03317441336153,6.125882196285209,385373
2005-03-02,6.532373428344727,7.060098227135137,6.12588253516682,6.2542486681755936,1884901
2005-03-03,7.088625431060791,7.259779387480975,6.560901197436142,6.560901197436142,2873901
2005-03-04,6.846157073974609,7.331092784152372,6.781973995859123,7.274041934723418,672020
2005-03-07,7.502243995666504,7.915866342394171,6.710657640629518,6.817628467848104,2240214
2005-03-08,8.707453727722168,9.006973056582707,7.231251670198302,7.274040145749807,3852448
2005-03-09,8.871478080749512,9.24231138561519,7.880211392928809,8.828690293655697,3699459
2005-03-10,8.479248046875,8.914263584918446,8.315224993835246,8.842949699601045,1266322
2005-03-11,8.564826011657715,8.971316914870767,8.486380582442798,8.59335212992221,801193
2005-03-14,8.279568672180176,8.557693404183471,8.094151718840557,8.557693404183471,328294
2005-03-15,8.122676849365234,8.25817308561311,8.001442970718895,8.201122259194863,386594
2005-03-16,8.144072532653809,8.393671153453145,7.880209458308338,7.880209458308338,760530
2005-03-17,8.415066719055176,8.557694518967356,8.015707343687378,8.20112432118068,902337
2005-03-18,8.735980033874512,8.842950876082195,8.215386786981062,8.543430842685861,970351
2005-03-21,8.686058044433594,8.971314256508423,8.415064189258597,8.443589601064275,424538
2005-03-22,8.272438049316406,8.700322836178136,7.844553262454678,8.700322836178136,509784
2005-03-23,7.887341022491455,8.529167389498568,7.84455185348449,8.272436563493288,273489
2005-03-24,7.97291898727417,8.122679017102847,7.844553546566548,8.122679017102847,482838
2005-03-28,7.937258720397949,8.122675623284547,7.773236397693317,7.8302872155000065,143428
2005-03-29,7.573561668395996,8.272440601923625,7.495116216266656,8.272440601923625,513068
2005-03-30,7.758975982666016,7.844552936482298,7.1813318934091965,7.709055976605487,134699
2005-03-31,7.894474983215332,7.987183490148572,7.773241050305081,7.844554964250791,310513
2005-04-01,8.129807472229004,8.201121346316794,7.773236705778111,7.844550579865902,205639
2005-04-04,7.7304511070251465,8.272438286593681,7.6591372065047745,8.272438286593681,289889
2005-04-05,7.701925277709961,7.844553071182057,7.630610682967719,7.730450696803141,318005
2005-04-06,7.659140110015869,7.758979468991346,7.630613980588737,7.666270944366157,46343
2005-04-07,7.652004241943359,7.844552016444189,7.63774118531141,7.844552016444189,41586
2005-04-08,7.623479843139648,7.78037069498528,7.60208525533914,7.78037069498528,99702
2005-04-11,7.495115756988525,7.773241286229593,7.359618757974137,7.602087329160131,85112
2005-04-12,7.466588973999023,7.7019259712287775,7.2740411562712755,7.2740411562712755,24303
2005-04-13,7.573561668395996,7.7019278420703685,7.530773874513106,7.694796310421078,74321
2005-04-15,7.623479843139648,7.773239165718443,7.202726596458226,7.423799815693,122378
2005-04-18,7.566427230834961,7.901603474654471,7.381010288293917,7.381010288293917,331091
2005-04-19,7.709055423736572,7.823158485979295,7.63774153333947,7.737580840294188,231435
2005-04-20,7.701925277709961,7.915867665924298,7.559296786231671,7.559296786231671,345398
2005-04-21,7.701925277709961,7.7589761158963215,7.652005270792249,7.652005270792249,108302
2005-04-22,7.851685047149658,7.915868116268516,7.701925715882712,7.701925715882712,102899
2005-04-25,7.915866374969482,7.987180260075344,7.709054851751541,7.716186379863343,377491
2005-04-26,7.980051517486572,8.17260005169205,7.744715195686901,7.744715195686901,214881
2005-04-27,8.136941909790039,8.621878283461287,7.7875025153803366,7.7875025153803366,422890
2005-04-28,8.05849838256836,8.300966277829653,7.987184459963614,8.272440848389044,194498
2005-04-29,7.865947246551514,8.094151983343309,7.659136398456255,8.058495036844976,177230
2005-05-02,7.652004241943359,7.915866601597841,7.459456467442529,7.787500487922489,130784
2005-05-03,7.694794178009033,7.773239608399264,7.566428737914229,7.566428737914229,130563
2005-05-04,7.723320484161377,7.84455440848249,7.516509589965795,7.65200657526809,116636
2005-05-05,7.794632911682129,7.844552215146209,7.694792908741736,7.701924437238352,84640
2005-05-06,7.709055423736572,8.094151688291968,7.680530007178958,7.830289316614102,563481
2005-05-09,7.502243995666504,7.958654812882822,7.45945622318393,7.958654812882822,193974
2005-05-10,7.637741565704346,7.701924625738618,7.559296146333893,7.559296146333893,248888
2005-05-11,7.666268825531006,7.844554293149325,7.5949549176861995,7.666268825531006,134802
2005-05-12,7.694794178009033,7.737581960034403,7.5949541585998865,7.701925707682006,93775
2005-05-13,8.208251953125,8.386538029530248,7.644870408665368,7.737578861273478,638921
2005-05-16,8.415066719055176,8.514906039392457,8.094152773240321,8.272438221136772,857250
2005-05-17,8.201122283935547,8.600481560098297,7.922996886784868,8.557692393146453,404032
2005-05-18,7.987184524536133,8.058498447717417,7.858818345999497,7.987184524536133,102991
2005-05-19,7.97291898727417,8.229649868689416,7.930131205044532,7.930131205044532,134807
2005-05-20,8.136941909790039,8.771637625061857,7.994314098362122,8.5576952099137,57386
2005-05-23,8.193989753723145,8.265304325246113,8.158332816964643,8.158332816964643,135156
2005-05-24,8.222518920898438,8.27243893437422,7.944394128685198,8.27243893437422,158310
2005-05-25,8.129807472229004,8.265304391400583,7.915865151959663,7.98004749903748,224733
2005-05-26,7.9515252113342285,8.400804648760626,7.780371970893586,7.844554348808039,88530
2005-05-27,7.99431037902832,8.144070348959701,7.794631117125767,7.887339570225295,103771
2005-05-30,7.801763534545898,8.101282837389915,7.7732381193246916,7.887341176221716,47965
2005-05-31,7.844554901123047,8.101285826869239,7.7732409877512225,7.801766413498681,138892
2005-06-01,8.179727554321289,8.265305188690002,7.787499812991355,7.787499812991355,298500
2005-06-02,7.8588128089904785,8.165463579426307,7.844550453206785,8.065624296916614,77487
2005-06-03,8.65040397644043,8.65040397644043,7.894474318632216,8.029971302127569,563666
2005-06-06,9.135340690612793,9.81995651717045,9.078289837070574,9.484780135085995,976237
2005-06-07,9.527566909790039,9.556092329338266,9.12820754608385,9.12820754608385,580492
2005-06-08,9.092551231384277,9.613144536991387,9.056894279960247,9.613144536991387,494281
2005-06-09,8.757373809814453,9.135337866195371,8.700322275904758,9.135337866195371,157232
2005-06-10,8.57196044921875,8.957056165011053,8.529171260790271,8.842953756554312,237070
2005-06-13,9.006974220275879,9.006974220275879,8.4221978468486,8.629009420405884,287093
2005-06-14,8.842952728271484,9.413465402220814,8.714587271931938,9.106814473519732,753289
2005-06-15,9.285100936889648,9.285100936889648,8.771638397322237,8.985580831306017,553095
2005-06-16,8.892868995666504,9.413462173015246,8.82155511038802,9.270834402458279,786434
2005-06-17,8.693191528320312,9.049761699159735,8.450723030382592,9.049761699159735,344644
2005-06-20,8.621878623962402,9.01410581888556,8.279570746206694,9.01410581888556,202041
2005-06-21,8.472115516662598,8.678926335065265,8.415064689658726,8.415064689658726,102729
2005-06-22,8.179727554321289,8.593349878744911,8.144071311843886,8.593349878744911,76953
2005-06-23,8.179727554321289,8.379407537838222,8.151202141535743,8.379407537838222,161712
2005-06-24,8.322357177734375,8.50064260308209,8.272437174876279,8.286700232266059,94478
2005-06-27,8.22964859008789,8.54343026439604,8.129809283719903,8.54343026439604,152778
2005-06-28,8.151206016540527,8.407936947675964,7.994315124626551,8.272439951020088,188791
2005-06-29,8.564826011657715,8.564826011657715,8.343752783145211,8.343752783145211,443555
2005-06-30,8.957056045532227,8.992713004073927,8.621879658031288,8.621879658031288,863593
2005-07-01,8.878608703613281,9.014104977573403,8.579089338532036,8.579089338532036,266571
2005-07-04,9.327887535095215,9.327887535095215,9.27083599824849,9.27083599824849,601224
2005-07-05,9.627405166625977,9.798559759079007,9.556091276608477,9.712982113849428,1908394
2005-07-06,10.112344741821289,10.112344741821289,9.556094402891185,9.762905310005165,1380639
2005-07-07,9.884137153625488,10.511701971320923,9.705852407922908,10.219313452755031,1113200
2005-07-08,10.019634246826172,10.26923429001236,9.770034901646202,10.183656633772655,465626
2005-07-11,10.525965690612793,10.525965690612793,10.269235484067252,10.411863299036296,258941
2005-07-12,11.053689002990723,11.053689002990723,10.56162185426668,10.56162185426668,738074
2005-07-13,11.410262107849121,11.609941478354516,11.253370525731855,11.253370525731855,1220568
2005-07-14,10.839747428894043,11.695517054597028,10.839747428894043,11.303289193148784,411837
2005-07-15,11.381733894348145,11.381733894348145,10.29775893859806,10.554489794064699,1162894
2005-07-18,11.403127670288086,11.952246356316682,11.33894530213188,11.666990766283583,751324
2005-07-19,11.638465881347656,11.766830631253443,11.267632597826017,11.517231963542867,675114
2005-07-20,11.766828536987305,11.909457717734968,11.267630592407382,11.831011598523139,368721
2005-07-21,11.681254386901855,12.052087671151014,11.48157503353789,11.831013727423262,779763
2005-07-22,11.517230987548828,11.873801878645644,11.438785559029021,11.695516433097236,376542
2005-07-25,11.12500286102295,11.83814388213815,11.053688270307122,11.681252340968252,302169
2005-07-26,11.060821533203125,11.588545678398,10.98237609932323,11.588545678398,204356
2005-07-27,10.97524356842041,11.096477480889423,10.711381852108437,10.711381852108437,97895
2005-07-28,10.97524356842041,10.97524356842041,10.97524356842041,10.97524356842041,0
2005-07-29,10.632936477661133,11.41026066521555,10.55449104552376,11.125004357987036,411421
2005-08-01,10.133737564086914,10.554490835737921,10.10521214333292,10.426125395335601,249016
2005-08-02,10.297760963439941,10.483177961515212,9.712984545666513,10.269235539892325,389750
2005-08-03,10.80408763885498,10.818350694871345,10.411859880459563,10.682853756734085,298182
2005-08-04,11.224843978881836,11.346077895214444,10.775565265648494,11.053690050410799,726702
2005-08-05,10.996639251708984,11.26050169227534,10.911062979694117,11.253370161772523,255400
2005-08-08,10.846879005432129,11.01803293130892,10.839747475519554,11.01803293130892,228926
2005-08-09,10.875404357910156,11.018032861235802,10.73277585458451,11.018032861235802,192840
2005-08-10,11.966510772705078,11.966510772705078,10.982376362611642,10.996638724927742,1156043
2005-08-11,11.716914176940918,12.387266962641247,11.588548007331914,12.052089871784679,561957
2005-08-12,12.023560523986816,12.237503617331207,11.552887952249046,11.766829649581005,517030
2005-08-16,11.952245712280273,12.266027402813787,11.859537929717474,11.995034886087021,400886
2005-08-17,12.1590576171875,12.32308070365821,11.980772867556247,11.980772867556247,546383
2005-08-18,12.05208683013916,12.693914724177242,11.980772929915474,12.693914724177242,535740
